date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014/1/29,17.998215,18.120358,17.807858,17.883928,502810000,22.78102055,31.91316982,-126.8421009,-216.7856647,19.51219284,19.27091779,18.66478575,18.73087241,-0.215437295,19.369643,0.3125,0.529447076,0.447983742,17.849285
2014/1/30,17.947857,18.089287,17.739286,17.849285,678501600,22.45182256,31.64449985,-85.56875819,-160.2635962,19.49418568,19.21516643,18.66534289,18.71333917,-0.30246034,19.26028585,0.350001,0.503811922,0.440984974,17.878571
2014/1/31,17.684999,17.911785,17.626785,17.878571,464797200,23.54150785,32.16441921,-69.23084782,-130.3294848,19.48130712,19.16274998,18.66335361,18.6967385,-0.364857741,19.1664823,0.285,0.472553076,0.42984319,17.911785
2014/2/3,17.950357,18.133215,17.832144,17.911785,401464000,24.93711334,32.78880062,-45.44775639,-92.25652026,19.46843568,19.11369168,18.66581432,18.6811298,-0.406937121,19.0960358,0.301071,0.448055637,0.420645177,18.17107
2014/2/4,18.066071,18.195,17.955713,18.17107,376681200,35.63693751,37.61611657,-17.20782639,-67.00766291,19.46399994,19.07672551,18.68048572,18.67098817,-0.414584133,19.03328575,0.283215,0.424506974,0.410828736,18.306786
2014/2/5,18.091429,18.402857,18.080357,18.306786,328344800,40.79088945,40.04350167,124.9770385,-46.2342658,19.4578928,19.04653132,18.69473572,18.66374725,-0.405024428,18.98426785,0.3225,0.409934549,0.40451954,18.303928
2014/2/6,18.216429,18.339287,18.13607,18.303928,257765200,40.71079706,40.00819708,99.47448482,-39.69016372,19.45268566,19.01740917,18.71173929,18.65659403,-0.393146957,18.92899995,0.203217,0.380403471,0.390140787,18.559999
2014/2/7,18.620714,18.676071,18.477858,18.559999,370280400,50.80735215,44.71163751,144.1264596,-7.827970355,19.44978564,18.99947125,18.73658214,18.65467387,-0.358933622,18.8989285,0.372143,0.379223404,0.388855231,18.8925
2014/2/10,18.523571,18.999643,18.5,18.8925,345559200,60.89535697,50.17418683,143.9785945,20.20098785,19.44663566,18.99527624,18.76289285,18.65940113,-0.301513595,18.89187495,0.499643,0.396426203,0.396768643,19.14143
2014/2/11,18.950357,19.205357,18.910713,19.14143,282256800,66.83564739,53.85038326,132.0861475,60.1735133,19.43949284,19.00100784,18.78835,18.66898168,-0.233232678,18.8922857,0.312857,0.384487746,0.390774954,19.139999
2014/2/12,19.176786,19.27,19.044287,19.139999,308100800,66.7676246,53.8257976,104.5511141,78.74417081,19.42509994,19.00645854,18.81107142,18.67834267,-0.177192465,18.8735892,0.225713,0.361805639,0.378984815,19.44393
2014/2/13,19.094999,19.458929,19.078571,19.44393,307398000,73.46060405,58.19171458,102.731147,107.3950942,19.4202428,19.0236145,18.83857858,18.69355686,-0.107021819,18.8505,0.380358,0.364455976,0.379082899,19.428213
2014/2/14,19.373928,19.499287,19.32893,19.428213,272924400,72.57872529,57.88690003,91.83050799,126.1562878,19.40429278,19.0394813,18.85763213,18.70815534,-0.052078974,18.8321785,0.170357,0.336727551,0.364173907,19.499643
2014/2/18,19.5,19.685356,19.486071,19.499643,260251600,74.21969381,58.93957351,106.6017433,118.2563223,19.3907142,19.05752707,18.87794999,18.72388204,-0.002740973,18.8416785,0.257143,0.32535833,0.356528842,19.191786
2014/2/19,19.455357,19.531786,19.083929,19.191786,313768000,57.05240422,52.81233346,14.13816905,71.44022767,19.36890706,19.06279218,18.89789285,18.73317856,0.011386999,18.8207856,0.447857,0.34285814,0.363052282,18.969643
2014/2/20,19.035357,19.178572,18.892857,18.969643,305858000,47.75374378,48.86482947,-108.5561372,33.65022887,19.34828566,19.05913924,18.91393928,18.73787643,0.004605348,18.7844284,0.298929,0.336582548,0.358472047,18.758928
2014/2/21,19.028214,19.091785,18.735714,18.758928,278784800,40.45670639,45.39845263,-129.870238,4.690775744,19.31887136,19.04736612,18.92911784,18.73829464,-0.017569568,18.72919625,0.356071,0.339366613,0.358300544,18.84107
2014/2/24,18.683929,18.925714,18.657858,18.84107,288909600,44.32580421,46.97749623,-101.3941444,-15.23183275,19.29172848,19.039276,18.94726067,18.74033623,-0.028190217,18.6961247,0.267856,0.329150811,0.351840219,18.645
2014/2/25,18.906429,18.913214,18.607143,18.645,231952000,37.533878,43.72686243,-89.65286195,-44.09065967,19.26365706,19.02381405,18.95943924,18.73844253,-0.051830894,18.64533905,0.306071,0.325853695,0.348570989,18.476786
2014/2/26,18.700357,18.75,18.414286,18.476786,276217200,32.54285307,41.0993271,-105.2128347,-89.80390114,19.23280708,19.00236177,18.96936425,18.73324548,-0.083180906,18.664714,0.335714,0.32726231,0.347652633,18.845358
2014/2/27,18.469286,18.885,18.430357,18.845358,301882000,49.6557392,48.41373562,-50.17377866,-66.18977037,19.21369282,18.99620471,18.9851714,18.73547214,-0.077393197,18.7127855,0.454643,0.345459552,0.355294802,18.794287
2014/2/28,18.895714,19.026787,18.647142,18.794287,371968800,47.69956069,47.53290975,23.9630835,-48.61909126,19.1913643,18.9882863,19.00060355,18.73664019,-0.076050732,18.7600356,0.379645,0.350343187,0.357034102,18.848572
2014/3/3,18.693571,18.951786,18.671785,18.848572,238781200,50.13558721,48.6033114,54.04541952,-49.14584794,19.1719143,18.98280726,19.01489284,18.73886299,-0.069801842,18.80853565,0.280001,0.340294303,0.351531737,18.972857
2014/3/4,18.964287,19.022858,18.848928,18.972857,259140000,55.65289951,51.06483718,128.9379386,-13.72268296,19.1579643,18.98241705,19.03285711,18.74350952,-0.054196052,18.86158925,0.174286,0.316578831,0.338871328,19.012857
2014/3/5,18.96143,19.098213,18.897499,19.012857,200062800,57.42183449,51.86387318,117.8508444,3.963379293,19.14932144,18.98361079,19.04920354,18.74885778,-0.038160791,18.9036786,0.200714,0.300026713,0.329002947,18.955357
2014/3/6,19.028214,19.087143,18.860714,18.955357,185488800,53.82138944,50.58519494,74.88307169,1.485440711,19.13627144,18.98250279,19.06388568,18.75295789,-0.029749567,18.93610715,0.226429,0.289512754,0.321676237,18.944286
2014/3/7,18.967501,18.999287,18.7875,18.944286,220729600,53.07386459,50.32791321,20.3721974,-6.40665005,19.10795002,18.98100408,19.07732497,18.75675656,-0.023703706,18.96812505,0.211787,0.278409075,0.313827005,18.96143
2014/3/10,18.870001,19.047501,18.869286,18.96143,178584000,54.22253276,50.74568564,46.54518202,39.80798068,19.08170002,18.98023646,19.08978213,18.76081998,-0.017329181,18.9881966,0.178215,0.264095635,0.304140434,19.14607
2014/3/11,19.123215,19.240713,19.02107,19.14607,279224400,64.9903559,55.12338364,187.133622,149.4631578,19.0618357,18.98673978,19.10314284,18.76846803,0.002591706,19.0008751,0.279283,0.266265259,0.302364903,19.164642
2014/3/12,19.089643,19.191071,19,19.164642,199326400,65.93076792,55.5513188,108.2951236,127.0732523,19.04506426,18.99371638,19.1158214,18.77633255,0.01965123,19.0020357,0.191071,0.255523222,0.294415338,18.951786
2014/3/13,19.194286,19.273571,18.898571,18.951786,257742800,48.50797923,49.70153796,21.47356154,73.8465137,19.02801428,18.99207204,19.12516069,18.77981533,0.015813043,18.99262505,0.375,0.272591333,0.300171385,18.73893
2014/3/14,18.885357,18.960358,18.678572,18.73893,237199200,37.07705077,44.63925054,-140.1868191,-50.53090897,19.00206432,18.98214485,19.13080356,18.77900379,-0.004354255,18.95737505,0.281786,0.273904857,0.298858144,18.812143
2014/3/17,18.84643,18.9275,18.780357,18.812143,199544800,42.51313349,46.65196599,-80.0583154,-33.50349453,18.98321434,18.97547807,19.13272498,18.77966155,-0.014264871,18.92657155,0.18857,0.261714163,0.290980419,18.978571
2014/3/18,18.782143,18.998928,18.757143,18.978571,209647200,53.22922741,51.01202883,-36.54374089,-11.53091108,18.97637146,18.97559936,19.13684283,18.78360938,-0.008590728,18.90051795,0.241785,0.25886714,0.287466461,18.973572
2014/3/19,19.009287,19.151428,18.892857,18.973572,224756000,52.88377055,50.87752281,16.73588813,45.22551103,18.96732148,18.97551986,19.13909284,18.78737947,-0.004446054,18.88960725,0.258571,0.258824834,0.285402499,18.882143
2014/3/20,18.924643,19.02393,18.833929,18.882143,208398400,46.4511524,48.3656829,-23.42636137,-35.73928617,18.95922146,18.971858,19.13794641,18.78926011,-0.008441618,18.88523225,0.190001,0.248992858,0.278588106,19.031071
2014/3/21,18.997499,19.0625,18.797501,19.031071,374046400,56.50521763,52.48106155,38.72555902,-1.375525994,18.95165716,18.97418009,19.14041426,18.79405878,0.000404453,18.8988394,0.264999,0.25127945,0.277617456,19.256786
2014/3/24,19.229286,19.303572,19.109285,19.256786,355700800,67.345966,57.95114871,185.9859424,179.6797589,18.95356432,18.98526273,19.14373926,18.80324109,0.02533628,18.9196252,0.272501,0.2543111,0.277251995,19.463928
2014/3/25,19.339287,19.491072,19.27107,19.463928,282293200,74.22434805,62.24630886,155.6006972,214.5556125,18.96217146,19.00403399,19.15384998,18.81635114,0.061105179,18.9605716,0.234286,0.251450371,0.274182995,19.277857
2014/3/26,19.518572,19.607143,19.245001,19.277857,299768000,60.80209776,56.64860809,91.99317161,148.5532448,18.9650643,19.01477219,19.15916426,18.82550845,0.073589619,19.00062515,0.362142,0.267263461,0.280465781,19.195
2014/3/27,19.286428,19.339287,19.111429,19.195,222031600,55.58055187,54.30662329,22.54032927,64.44094935,18.95868572,19.02183998,19.1644357,18.83283969,0.075922572,19.01810725,0.227858,0.261634109,0.276708083,19.173571
2014/3/28,19.225714,19.247856,19.080357,19.173571,200564000,54.17672745,53.68841786,-6.495048074,37.59096352,18.94404286,19.02779024,19.17044641,18.83960002,0.075175734,19.03707145,0.167499,0.248186237,0.268907434,19.169287
2014/3/31,19.258215,19.314644,19.140356,19.169287,168669200,53.85944492,53.55715865,-10.4466526,51.19102822,18.93153574,19.03333915,19.17401428,18.84614098,0.073392157,19.0531072,0.174288,0.237629346,0.262148903,19.344643
